epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.845,1.67035,3.38648,1.45383,0.30422,0.05346,0.05353,0.02861,1.99621,3.26836,1.50162,0.000548972,0.000548972,0.000548972
2,46.7278,1.91397,3.24319,1.60965,0.11171,0.08511,0.02866,0.01209,2.1575,3.37465,1.75478,0.00110099,0.00110099,0.00110099
3,70.0697,2.06948,3.2658,1.74282,0.08853,0.07529,0.02144,0.0077,2.30145,4.63286,2.05321,0.00164935,0.00164935,0.00164935
4,93.0341,2.16617,3.2256,1.80312,0.06065,0.0549,0.015,0.00612,2.38665,4.41229,1.98084,0.0016505,0.0016505,0.0016505
5,116.536,2.11569,3.0581,1.76746,0.1305,0.11862,0.04651,0.01987,2.31477,3.49776,1.92487,0.001645,0.001645,0.001645
6,141.783,2.0894,3.01709,1.74164,0.14844,0.16448,0.07413,0.03162,2.13704,3.45023,1.77818,0.00163949,0.00163949,0.00163949
7,169.639,2.03028,2.89272,1.71923,0.14381,0.14927,0.06954,0.03114,2.08733,2.97233,1.7711,0.00163399,0.00163399,0.00163399
8,195.909,1.98822,2.81716,1.682,0.18495,0.18225,0.12422,0.0638,2.04954,2.70226,1.71133,0.00162849,0.00162849,0.00162849
9,221.826,1.91019,2.66617,1.65322,0.25112,0.18461,0.12474,0.05483,2.00355,2.63902,1.7163,0.00162299,0.00162299,0.00162299
10,247.494,1.88516,2.6304,1.62439,0.22464,0.1712,0.12886,0.06763,2.00406,2.67988,1.71116,0.00161749,0.00161749,0.00161749
11,273.268,1.85848,2.58932,1.60144,0.22504,0.19934,0.11472,0.06145,1.93133,2.74865,1.61046,0.00161199,0.00161199,0.00161199
12,299.309,1.84921,2.53447,1.58945,0.25984,0.24706,0.17013,0.08393,1.8756,2.67462,1.58681,0.00160649,0.00160649,0.00160649
13,324.709,1.80426,2.48172,1.55697,0.29327,0.22545,0.17724,0.08558,1.85106,2.38974,1.59577,0.00160099,0.00160099,0.00160099
14,350.286,1.7861,2.44744,1.54201,0.33662,0.24011,0.21528,0.12009,1.78519,2.27643,1.54539,0.00159549,0.00159549,0.00159549
15,376.278,1.78226,2.37224,1.52213,0.23776,0.25831,0.15058,0.0779,1.84486,2.45645,1.57937,0.00158998,0.00158998,0.00158998
16,402.762,1.73213,2.39443,1.52089,0.33469,0.23326,0.1882,0.0968,1.81049,2.37527,1.56203,0.00158448,0.00158448,0.00158448
17,430.208,1.74313,2.37515,1.51395,0.24075,0.25222,0.1655,0.08104,1.83589,2.39063,1.55069,0.00157898,0.00157898,0.00157898
18,457.795,1.74431,2.31244,1.50722,0.38674,0.24099,0.22309,0.11237,1.80933,2.33781,1.53356,0.00157348,0.00157348,0.00157348
19,484.156,1.72591,2.29134,1.49406,0.38965,0.28795,0.24916,0.13643,1.7389,2.18217,1.51455,0.00156798,0.00156798,0.00156798
20,511.485,1.70766,2.24686,1.47063,0.34591,0.2972,0.25182,0.1438,1.74507,2.21407,1.5006,0.00156248,0.00156248,0.00156248
21,540.243,1.69714,2.24493,1.46832,0.33234,0.3434,0.27642,0.15511,1.66734,2.05273,1.43461,0.00155698,0.00155698,0.00155698
22,567.336,1.62048,2.13431,1.42705,0.37065,0.30992,0.27214,0.15718,1.71802,2.07994,1.46728,0.00155148,0.00155148,0.00155148
23,598.077,1.64255,2.14065,1.44622,0.4235,0.28922,0.28724,0.17296,1.63991,2.109,1.43926,0.00154598,0.00154598,0.00154598
24,625.342,1.6422,2.13845,1.4555,0.39272,0.31842,0.28724,0.15821,1.58353,2.04315,1.38976,0.00154047,0.00154047,0.00154047
25,649.926,1.57912,2.05767,1.41708,0.42629,0.32468,0.30226,0.17968,1.66088,1.99312,1.44838,0.00153497,0.00153497,0.00153497
26,674.599,1.62752,2.04329,1.42853,0.41925,0.31584,0.30433,0.18335,1.62644,2.00418,1.40991,0.00152947,0.00152947,0.00152947
27,700.639,1.63461,2.04631,1.42235,0.42947,0.32082,0.27444,0.14466,1.62354,2.06691,1.41174,0.00152397,0.00152397,0.00152397
28,730.441,1.59966,1.99987,1.40773,0.46489,0.3714,0.35479,0.2096,1.56948,1.8135,1.3762,0.00151847,0.00151847,0.00151847
29,755.005,1.5959,2.02523,1.41578,0.39577,0.35344,0.31641,0.17787,1.65942,1.99475,1.41883,0.00151297,0.00151297,0.00151297
30,779.875,1.56441,1.95693,1.37996,0.43925,0.3433,0.3241,0.19759,1.53317,1.90673,1.325,0.00150747,0.00150747,0.00150747
31,807.189,1.54743,1.95087,1.39578,0.44356,0.38518,0.3738,0.23043,1.57165,1.80319,1.38531,0.00150197,0.00150197,0.00150197
32,834.355,1.52391,1.91144,1.3786,0.4865,0.42618,0.42182,0.25101,1.51831,1.65165,1.34699,0.00149647,0.00149647,0.00149647
33,861.134,1.51792,1.9186,1.37482,0.46437,0.3585,0.37913,0.22782,1.54008,1.71975,1.35764,0.00149096,0.00149096,0.00149096
34,889.59,1.57269,1.89702,1.38463,0.44749,0.42067,0.40118,0.23904,1.50096,1.81365,1.32948,0.00148546,0.00148546,0.00148546
35,916.256,1.49214,1.87126,1.35456,0.49362,0.41429,0.40625,0.25544,1.50735,1.67314,1.3146,0.00147996,0.00147996,0.00147996
36,943.482,1.53133,1.82958,1.35906,0.55805,0.39918,0.42733,0.26541,1.47827,1.66141,1.3152,0.00147446,0.00147446,0.00147446
